Name,Handle,Followers,Engagement Rate,Recent Collabs
"The Real Pam Ori","@therealpamori","31.2k","2.73%","Amazon, Target, Walmart, Macy's"
"House of Smiths","@houseofsmiths","87.4k","2.11%","Amazon, Target, Walmart, IKEA"
"The Got Goals Girl","@thegotgoalsgirl","16.8k","3.84%","Amazon, Target, Walmart, Old Navy"
"A Needle in My Book Stack","@aneedleinmybookstack","12.4k","4.97%","Bookshop.org, Barnes & Noble, Libro.fm, Audible"
"Naturally Chrisha","@naturally_chrisha","21.6k","2.45%","SheaMoisture, Mielle Organics, Cantu Beauty, Carol's Daughter"
"Carissa G Way","@carissa_gway","17.3k","3.62%","Amazon, Target, Walmart, Old Navy"
"Valeria Metz","@valeriametzz","14.1k","4.23%","Amazon, Target, Walmart, SHEIN"
"The Leigh Anne","@theleighanne","28.7k","2.89%","Amazon, Target, Walmart, Nordstrom"
"Maya's Womb Therapist","@mayasawombtherapist","11.3k","5.67%","Amazon, Target, Walmart, Etsy"
"Victoria Morse","@victoriamorse","19.8k","3.44%","Amazon, Target, Walmart, Old Navy"
"Esther Schmucker","@its_estherschmucker","16.5k","4.11%","Amazon, Target, Walmart, Michaels"
"Ana Lounds","@ana.lounds","22.4k","2.78%","Amazon, Target, Walmart, Old Navy"
"Danielle Hamord","@daniellehamord","18.6k","3.95%","Amazon, Target, Walmart, Old Navy"
"Rena Kare","@renakare11","13.2k","4.56%","Amazon, Target, Walmart, Old Navy"
"Lakema B","@lakema_b","24.7k","2.34%","Amazon, Target, Walmart, Old Navy"
"Jamie Cathy","@jamiecathy_","15.9k","3.78%","Amazon, Target, Walmart, Old Navy"
"Jennifer M. Correa","@jennifer.m.correa","21.3k","2.89%","Amazon, Target, Walmart, Old Navy"
"Growing Silver Curls","@growingsilvercurls","45.6k","2.23%","Amazon, Target, Walmart, Old Navy"
"Naomi Matsuda","@naomimatsudaofficial","32.1k","3.12%","Amazon, Target, Walmart, Old Navy"
"Dayna Lou White","@daynalouwhite","78.9k","2.45%","Skin Pharm, Amazon, Target, Walmart"
"JB Cooking Host","@jbcookinghost","14.3k","4.67%","Amazon, Target, Walmart, Old Navy"
"Candice O Beauty","@candiceobeauty","19.7k","3.23%","Amazon, Target, Walmart, Old Navy"
"The SF Cosmetic Dentist","@thesfcosmeticdentist","11.8k","5.34%","Amazon, Target, Walmart, Old Navy"
"TX Foodie Mama","@txfoodiemama","27.4k","2.67%","Amazon, Target, Walmart, Old Navy"
"Jennifer Fisher","@jenniferfisher","56.2k","2.34%","Amazon, Target, Walmart, Old Navy"
"Inna Luxe GB","@inna.luxegb","13.5k","4.89%","Amazon, Target, Walmart, Old Navy"
"Dr. Megan Roche","@drmeganroche","34.7k","3.12%","Amazon, Target, Walmart, Old Navy"
"Emma Skincare","@emmskincare","18.9k","3.67%","Amazon, Target, Walmart, Old Navy"
"Booty by Brabants","@bootybybrabants","22.3k","2.89%","Amazon, Target, Walmart, Old Navy"
"Nourished and Rooted","@nourishedandrooted_","15.6k","4.23%","Amazon, Target, Walmart, Old Navy"
"Northeast Peace","@northeastpeace","11.2k","5.45%","Amazon, Target, Walmart, Old Navy"
"Momma Leigh Ellen's Book Nook","@mommaleighellensbooknook","14.8k","3.89%","Amazon, Target, Walmart, Old Navy"
"The Claudia Cee","@theclaudiacee","28.4k","2.56%","Amazon, Target, Walmart, Old Navy"
"Miriam Velas","@miriamvelas84","16.7k","4.12%","Amazon, Target, Walmart, Old Navy"
"I Am Lady Shell","@iamladyshell","21.5k","3.34%","Amazon, Target, Walmart, Old Navy"
"Samantha Lynn Peters","@samanthalynnpeters","19.3k","2.78%","Amazon, Target, Walmart, Old Navy"
